mz,rt,height,intensity,rt_min,rt_max,mz_min,mz_max,SN,peakwidth
244.117967435133,1.034641,10241.841796875,42712.403843711,0.98723481,1.0812681,244.117813110352,244.11804199218798,10241,0.09403329
250.143749290304,1.0656785,20692.00390625,59472.8241794876,0.95602023,1.1124827,250.143646240234,250.143951416016,16,0.15646247
445.11982993867997,1.034641,273999.34375,539225.438042754,0.87784723,1.2062161,445.119293212891,445.120422363281,36,0.32836887
439.38210637838995,1.1439807,14140.2724609375,67600.80465512701,1.0968597,1.2218076999999998,439.38186645507795,439.38229370117205,7,0.124948
272.266240147804,1.705991,12257.1201171875,49264.2377747901,1.6590515,1.7527826000000002,272.266204833984,272.26629638671903,11,0.0937311000000001
236.20885891494098,2.018589,20043.375,70002.7591467404,1.9714952000000001,2.0654286,236.208786010742,236.208908081055,7,0.0939334000000002
235.946294169346,2.0496263999999997,28627.47265625,289187.08480504,1.9400015,2.2365327,235.946182250977,235.94641113281293,7,0.2965312
185.029462614146,2.1279868,26041.0,141229.798864362,1.9714952000000001,2.190241,185.02928161621102,185.029647827148,16,0.21874580000000002
196.996119579593,2.1125264,30777.865234375,151005.947666999,1.9400015,2.190241,196.996002197266,196.99626159668,22,0.2502395
287.133782689518,2.143889,30559.259765625,165821.947034349,1.9400015,2.2365327,287.13372802734403,287.133880615234,7,0.2965312
119.016368492461,2.2365327,75721.263671875,424285.85291127,2.0654286,2.329889,119.01596069335899,119.01654052734399,54523,0.26446040000000004
160.045403755197,2.1594806,28927.94140625,137239.186362938,1.9874015,2.2365327,160.045349121094,160.045501708984,20,0.2491312
229.091979780721,2.190241,24255.90625,150443.333825776,2.0496263999999997,2.2678993,229.091659545898,229.09254455566398,7,0.2182729
233.105380025275,2.190241,32548.55078125,143127.98553900002,2.0969368000000004,2.2835036,233.105255126953,233.105560302734,9,0.18656679999999998
271.0624365568,0.51852436,29883.728515625,129609.82432262099,0.51852436,0.59646391,271.062225341797,271.062652587891,43928,0.0779395499999999
271.062475706761,1.4872952,47470.7890625,668710.782669678,1.3311493,1.674641,271.06231689453097,271.062713623047,47470,0.3434917
271.062550823518,1.9089348000000002,39310.0859375,165104.217776764,1.9089348000000002,1.9874015,271.062377929688,271.062713623047,53656,0.0784667000000001
271.062529575563,0.70609728,40848.0625,338583.847541867,0.59646391,0.81545348,271.062377929688,271.062713623047,40847,0.21898957
271.062471947114,0.94043055,34986.1796875,356503.66454786796,0.81545348,1.0656785,271.062347412109,271.062652587891,34985,0.25022502
271.062522268622,1.2218076999999998,40329.76171875,450039.91141257,1.0656785,1.3311493,271.062408447266,271.062744140625,40329,0.2654708
271.062547633887,1.8465515,53656.7890625,620131.3070366429,1.674641,1.9874015,271.062286376953,271.062774658203,53656,0.3127605
271.062517709541,2.0969368000000004,37441.109375,341112.350404249,1.9874015,2.2365327,271.06231689453097,271.06268310546903,37440,0.2491312
245.12322529176498,2.143889,34475.45703125,228305.304764974,1.9400015,2.2212098,245.123016357422,245.12341308593798,8,0.2812083
259.102639258762,2.190241,23745.12890625,190864.696258224,2.002966,2.298966,259.10247802734403,259.102813720703,7,0.29600000000000004
273.117945444868,2.1594806,28042.42578125,250159.5140967189,1.9714952000000001,2.2678993,273.11773681640597,273.118255615234,13,0.29640409999999995
278.098989718279,2.1749264,31275.890625,140438.879402294,2.0654286,2.2365327,278.09881591796903,278.09906005859403,16,0.1711041
313.222033286374,2.1594806,29865.423828125,226854.250003979,1.9714952000000001,2.298966,313.22174072265597,313.222412109375,10,0.3274708
333.211920840075,2.1279868,47067.03515625,332573.44657135697,1.924539,2.2678993,333.211700439453,333.212280273438,47066,0.3433603
144.032393992442,2.2058348,20252.564453125,72689.0122422753,2.1594806,2.2519763999999998,144.03234863281298,144.032455444336,13,0.0924957999999999
231.07124400701198,2.1125264,48948.70703125,530741.7065102729,1.924539,2.3762347999999998,231.071075439453,231.07141113281293,15,0.4516958
275.15241872784696,2.1749264,33156.08203125,242061.339484433,2.0810327,2.329889,275.152221679688,275.152557373047,11,0.2488563
369.230974741966,2.190241,32321.09765625,168390.964618042,2.0496263999999997,2.3452452,369.230865478516,369.231201171875,7,0.2956188
130.63391419652,2.2365327,21217.181640625,131349.093649669,2.1594806,2.3452452,130.633865356445,130.633941650391,9,0.1857646
191.039908057513,2.1749264,43284.89453125,465631.187329566,1.9089348000000002,2.3142973,191.039733886719,191.04002380371102,46,0.4053625
287.15255952068696,2.2212098,29110.716796875,103298.341346736,2.1749264,2.2678993,287.152496337891,287.152618408203,29110,0.0929728999999999
311.116276382436,2.2058348,40690.5,259564.77628159398,2.0810327,2.3452452,311.116088867188,311.116546630859,13,0.2642125
327.220387783545,2.2058348,21784.1484375,111897.987305149,2.1125264,2.2678993,327.22027587890597,327.220581054688,10,0.1553729
103.00671484613001,2.2365327,34202.48046875,116256.04957542199,2.190241,2.2835036,103.00670623779301,103.00672149658199,34201,0.0932625999999999
158.016875572276,0.83104729,66463.765625,1507046.84206981,0.64388058,1.1906265,158.016799926758,158.016937255859,20,0.54674592
158.016840362658,1.6122265,56734.48828125,1464764.63178274,1.2062161,1.8306494,158.016677856445,158.016983032227,17,0.6244333000000001
158.016844993878,2.143889,56227.4921875,614381.837384993,1.9714952000000001,2.329889,158.01676940918,158.01696777343798,17,0.3583938
